File Name,Result,Input Path,Indexless Input Path,Unmappable CDM Path Count,Unmappable CDM Paths,Reason For Failure
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,trade.returnSwap.principalExchangeFeatures.principalExchangeDescriptions.principalExchangeDate.relativeDate.dateRelativeTo[href=EffectiveDate].href,trade.returnSwap.principalExchangeFeatures.principalExchangeDescriptions.principalExchangeDate.relativeDate.dateRelativeTo[href=EffectiveDate].href,0,,Element with value EffectiveDate could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Success,trade.returnSwap.returnLeg.notional.notionalAmount.currency,trade.returnSwap.returnLeg.notional.notionalAmount.currency,2,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).priceQuantity.quantitySchedule.value.unit.currency.value=[USD] TradeState.trade.tradableProduct.tradeLot(1).priceQuantity(0).quantity(1).value.unit.currency.value=[USD],Element mapped to already populated field
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,trade.returnSwap.extraordinaryEvents.mergerEvents.shareForCombined,trade.returnSwap.extraordinaryEvents.mergerEvents.shareForCombined,0,,Element with value ModifiedCalculationAgent could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,trade.returnSwap.extraordinaryEvents.additionalDisruptionEvents.changeInLaw,trade.returnSwap.extraordinaryEvents.additionalDisruptionEvents.changeInLaw,0,,Element with value true could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,trade.returnSwap.principalExchangeFeatures.principalExchanges.intermediateExchange,trade.returnSwap.principalExchangeFeatures.principalExchanges.intermediateExchange,0,,Element with value false could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,trade.returnSwap.extraordinaryEvents.representations.agreementsRegardingHedging,trade.returnSwap.extraordinaryEvents.representations.agreementsRegardingHedging,0,,Element with value true could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,header.inReplyTo[messageIdScheme=http://www.example.com/messageId],header.inReplyTo[messageIdScheme=http://www.example.com/messageId],0,,Element with value MS/2006/07/03/15-92 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,trade.returnSwap.extraordinaryEvents.additionalDisruptionEvents.hedgingDisruption,trade.returnSwap.extraordinaryEvents.additionalDisruptionEvents.hedgingDisruption,0,,Element with value true could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,trade.returnSwap.principalExchangeFeatures.principalExchanges.finalExchange,trade.returnSwap.principalExchangeFeatures.principalExchanges.finalExchange,0,,Element with value false could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,trade.returnSwap.returnLeg.rateOfReturn.valuationPriceFinal.commission.commissionAmount,trade.returnSwap.returnLeg.rateOfReturn.valuationPriceFinal.commission.commissionAmount,0,,Element with value 60 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,trade.returnSwap.extraordinaryEvents.tenderOfferEvents.shareForOther,trade.returnSwap.extraordinaryEvents.tenderOfferEvents.shareForOther,0,,Element with value ModifiedCalculationAgent could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,trade.returnSwap.extraordinaryEvents.representations.additionalAcknowledgements,trade.returnSwap.extraordinaryEvents.representations.additionalAcknowledgements,0,,Element with value true could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,trade.returnSwap.principalExchangeFeatures.principalExchangeDescriptions.payerPartyReference[href=party2].href,trade.returnSwap.principalExchangeFeatures.principalExchangeDescriptions.payerPartyReference[href=party2].href,0,,Element with value party2 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Fail_MappedNone,trade.returnSwap.earlyTermination(1).partyReference[href=party2].href,trade.returnSwap.earlyTermination.partyReference[href=party2].href,0,,Element with value party2 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/incomplete-products/equity-swaps/eqs-ex04-zero-strike-long-form.xml,Success,trade.returnSwap.returnLeg.notional.notionalAmount.amount,trade.returnSwap.returnLeg.notional.notionalAmount.amount,3,"TradeState.trade.tradableProduct.tradeLot(1).priceQuantity(0).quantity(1).value.value=[31000, 55911.60]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).priceQuantity.quantitySchedule.value.value=[55911.60]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).priceQuantity.quantitySchedule.reference=[null]",Element mapped to already populated field
